ID,Pillar,Track,Hook,Concept,Script,Seedance Prompt,Status,Video URL,iZop Caption,Guy Caption,Hashtags,UTM Campaign,Scheduled Date,Slot Time,Platforms Posted,Series
1,Extreme Locations,A,I'm on a volcano. iZop is handling my socials.,"lying on active volcano rim, lava glow below","People ask how I stay consistent on social. Honestly? I'm up here on a volcano. iZop AI is down there — scheduling, replying, posting across all 8 platforms. Stop managing social media. Start talking to it.","9:16 vertical cinematic short-form ad, 12 seconds, shallow depth of field, 35mm film grain.

Reference: Guy Kogen personal avatar — consistent face identity, short dark hair, casual smart attire.

[0:00-0:03] Wide establishing shot: Guy Kogen lying calmly on dark volcanic rock ridge, lava glow flickering below, steam drifting. Subject still or slow natural movement only. Camera: slow aerial drone pull-out revealing volcano crater. Expression: eyes closed, peaceful. Lighting: dramatic volcanic rim light, orange underglow.

[0:03-0:08] Medium close-up: Guy speaks directly to lens, subtle natural head tilt, one hand relaxed gesture. Camera: smooth gimbal slow dolly in, eye-level. Expression: opens eyes, confident direct eye contact, relaxed half-smile.

[0:08-0:12] Extreme close-up on face. Camera: locked-off static. Expression: slight knowing smirk. Lighting: dramatic volcanic rim light, orange underglow.

Audio: distant lava rumble, wind, no music, clear dialogue space.
Style: premium cinematic UGC, Ridley Scott landscape scale.
Constraints: stable face identity, no warped hands, no jitter, no morphing background, lip-sync ready, no text overlays.",pending,,"I'm on a volcano. iZop is handling my socials.

Schedule, reply, and publish across 8 platforms — all from one chat.

Stop managing social media. Start talking to it.
Try free → https://izop.ai?utm_source={platform}&utm_medium=izop_brand&utm_campaign=extreme_places

#socialmediamanager #aicontent #contentcreator #smallbusiness #izopai","I made this AI video in under 5 minutes.

The concept: lying on active volcano rim, lava glow below
The tool I use to post everywhere: iZop AI (link in bio)

Want the full Seedance prompt? Comment ""PROMPT""

#seedance #aivideo #contentcreation #buildinpublic #socialmediatips",#izopai #seedance #aivideo #socialmediamanager #contentcreator,extreme_places,2026-07-01,09:00 ET,,extreme_places
2,Extreme Locations,A,Posting from space while I float.,"floating in ISS cupola, Earth through window",Zero gravity. Zero signal problems. iZop AI keeps my socials live on Earth while I float up here. Eight platforms. One conversation. Try it free at izop.ai.,"9:16 vertical cinematic short-form ad, 12 seconds, shallow depth of field, 35mm film grain.

Reference: Guy Kogen personal avatar — consistent face identity, short dark hair, casual smart attire.

[0:00-0:03] Wide establishing shot: Guy Kogen floating weightlessly in ISS cupola module, Earth visible through panoramic window. Subject still or slow natural movement only. Camera: slow crane pull-back revealing full cupola and Earth. Expression: awe-struck wonder, slow blink. Lighting: cool space station LED mixed with warm Earth glow through window.

[0:03-0:08] Medium close-up: Guy speaks directly to lens, subtle natural head tilt, one hand relaxed gesture. Camera: smooth gimbal slow orbit 25° right, eye-level. Expression: calm direct eye contact, gentle smile.

[0:08-0:12] Extreme close-up on face. Camera: locked-off static. Expression: confident eyebrow raise. Lighting: cool space station LED mixed with warm Earth glow through window.

Audio: subtle station hum, muffled silence, no music, clear dialogue space.
Style: NASA documentary cinematic, Interstellar aesthetic.
Constraints: stable face identity, no warped hands, no jitter, no morphing background, lip-sync ready, no text overlays.",pending,,"Posting from space while I float.

Your socials run 24/7 even when you're completely offline.

Stop managing social media. Start talking to it.
Try free → https://izop.ai?utm_source={platform}&utm_medium=izop_brand&utm_campaign=extreme_places

#socialmediamanager #aicontent #contentcreator #smallbusiness #izopai","I made this AI video in under 5 minutes.

The concept: floating in ISS cupola, Earth through window
The tool I use to post everywhere: iZop AI (link in bio)

Want the full Seedance prompt? Comment ""PROMPT""

#seedance #aivideo #contentcreation #buildinpublic #socialmediatips",#izopai #seedance #aivideo #socialmediamanager #contentcreator,extreme_places,2026-07-01,18:00 ET,,extreme_places
3,Extreme Locations,A,Deep sea. My posts still surface.,"deep-sea sub viewport, bioluminescent dark","Two miles under the ocean. No Wi-Fi down here — but iZop AI already scheduled today's posts, replied to comments, and pulled my analytics. Stop managing social media. Start talking to it.","9:16 vertical cinematic short-form ad, 12 seconds, shallow depth of field, 35mm film grain.

Reference: Guy Kogen personal avatar — consistent face identity, short dark hair, casual smart attire.

[0:00-0:03] Wide establishing shot: Guy Kogen seated inside deep-sea submarine, face lit by bioluminescent glow through viewport. Subject still or slow natural movement only. Camera: slow dolly out revealing submarine interior and viewport. Expression: curious calm, studying viewport. Lighting: blue-green bioluminescent rim light on face, dark interior.

[0:03-0:08] Medium close-up: Guy speaks directly to lens, subtle natural head tilt, one hand relaxed gesture. Camera: smooth gimbal slow push-in, eye-level. Expression: turns to camera, relaxed smile.

[0:08-0:12] Extreme close-up on face. Camera: locked-off static. Expression: knowing wink. Lighting: blue-green bioluminescent rim light on face, dark interior.

Audio: deep ocean pressure hum, sonar ping, no music, clear dialogue space.
Style: James Cameron deep-sea documentary cinematic.
Constraints: stable face identity, no warped hands, no jitter, no morphing background, lip-sync ready, no text overlays.",pending,,"Deep sea. My posts still surface.

Set it once. Your social presence stays active everywhere.

Stop managing social media. Start talking to it.
Try free → https://izop.ai?utm_source={platform}&utm_medium=izop_brand&utm_campaign=extreme_places

#socialmediamanager #aicontent #contentcreator #smallbusiness #izopai","I made this AI video in under 5 minutes.

The concept: deep-sea sub viewport, bioluminescent dark
The tool I use to post everywhere: iZop AI (link in bio)

Want the full Seedance prompt? Comment ""PROMPT""

#seedance #aivideo #contentcreation #buildinpublic #socialmediatips",#izopai #seedance #aivideo #socialmediamanager #contentcreator,extreme_places,2026-07-02,09:00 ET,,extreme_places
4,Extreme Locations,A,Lion walked by. Didn't check my phone.,"safari jeep, lion passes unfazed","A lion just walked past my jeep. I didn't check my phone once. iZop AI is handling comments, DMs, and posts across every platform. That's what a real social media manager looks like.","9:16 vertical cinematic short-form ad, 12 seconds, shallow depth of field, 35mm film grain.

Reference: Guy Kogen personal avatar — consistent face identity, short dark hair, casual smart attire.

[0:00-0:03] Wide establishing shot: Guy Kogen sitting relaxed in open safari jeep, lion walks past unfazed in background. Subject still or slow natural movement only. Camera: slow aerial drone pull-out revealing jeep and lion. Expression: completely unfazed, arms on jeep rail. Lighting: golden hour warm sunlight, dust particles.

[0:03-0:08] Medium close-up: Guy speaks directly to lens, subtle natural head tilt, one hand relaxed gesture. Camera: smooth gimbal slow truck left, eye-level. Expression: casual direct eye contact, half-smile.

[0:08-0:12] Extreme close-up on face. Camera: locked-off static. Expression: slight shrug, confident. Lighting: golden hour warm sunlight, dust particles.

Audio: savanna wind, distant lion rumble, no music, clear dialogue space.
Style: National Geographic premium documentary.
Constraints: stable face identity, no warped hands, no jitter, no morphing background, lip-sync ready, no text overlays.",pending,,"Lion walked by. Didn't check my phone.

Bulk-reply to comments and DMs in your brand voice — from one chat.

Stop managing social media. Start talking to it.
Try free → https://izop.ai?utm_source={platform}&utm_medium=izop_brand&utm_campaign=extreme_places

#socialmediamanager #aicontent #contentcreator #smallbusiness #izopai","I made this AI video in under 5 minutes.

The concept: safari jeep, lion passes unfazed
The tool I use to post everywhere: iZop AI (link in bio)

Want the full Seedance prompt? Comment ""PROMPT""

#seedance #aivideo #contentcreation #buildinpublic #socialmediatips",#izopai #seedance #aivideo #socialmediamanager #contentcreator,extreme_places,2026-07-02,18:00 ET,,extreme_places
5,Extreme Locations,A,North Pole vibes. Warm replies handled.,"North Pole ice fishing hut, aurora above","Cold outreach? iZop AI handles the warm replies. I'm ice fishing at the North Pole and my DMs, comments, and scheduled posts are all taken care of. Free to start — no credit card.","9:16 vertical cinematic short-form ad, 12 seconds, shallow depth of field, 35mm film grain.

Reference: Guy Kogen personal avatar — consistent face identity, short dark hair, casual smart attire.

[0:00-0:03] Wide establishing shot: Guy Kogen sitting inside ice fishing hut, aurora borealis visible through small window. Subject still or slow natural movement only. Camera: slow dolly out revealing hut interior and aurora window. Expression: cozy relaxed, holding warm mug. Lighting: warm lantern glow inside, cool aurora green through window.

[0:03-0:08] Medium close-up: Guy speaks directly to lens, subtle natural head tilt, one hand relaxed gesture. Camera: smooth gimbal slow dolly in, eye-level. Expression: warm direct eye contact, friendly smile.

[0:08-0:12] Extreme close-up on face. Camera: locked-off static. Expression: playful smirk. Lighting: warm lantern glow inside, cool aurora green through window.

Audio: wind howling outside, ice cracking faintly, no music, clear dialogue space.
Style: Arctic expedition cinematic, cozy contrast.
Constraints: stable face identity, no warped hands, no jitter, no morphing background, lip-sync ready, no text overlays.",pending,,"North Pole vibes. Warm replies handled.

Never miss a lead in comments or DMs — iZop flags buyer intent automatically.

Stop managing social media. Start talking to it.
Try free → https://izop.ai?utm_source={platform}&utm_medium=izop_brand&utm_campaign=extreme_places

#socialmediamanager #aicontent #contentcreator #smallbusiness #izopai","I made this AI video in under 5 minutes.

The concept: North Pole ice fishing hut, aurora above
The tool I use to post everywhere: iZop AI (link in bio)

Want the full Seedance prompt? Comment ""PROMPT""

#seedance #aivideo #contentcreation #buildinpublic #socialmediatips",#izopai #seedance #aivideo #socialmediamanager #contentcreator,extreme_places,2026-07-03,09:00 ET,,extreme_places
6,Extreme Locations,A,Hands free on a cliff edge.,"free-solo cliff ledge, hands relaxed","Both hands free. No phone. No panic. iZop AI scheduled my week, replied to today's comments, and posted across 8 platforms. Stop juggling. Start talking to your social media.","9:16 vertical cinematic short-form ad, 12 seconds, shallow depth of field, 35mm film grain.

Reference: Guy Kogen personal avatar — consistent face identity, short dark hair, casual smart attire.

[0:00-0:03] Wide establishing shot: Guy Kogen standing calmly on narrow cliff ledge, valley drop below, hands completely relaxed at sides. Subject still or slow natural movement only. Camera: slow aerial drone pull-out revealing cliff scale and valley. Expression: zen calm, eyes on horizon. Lighting: dramatic side light, golden edge rim on silhouette.

[0:03-0:08] Medium close-up: Guy speaks directly to lens, subtle natural head tilt, one hand relaxed gesture. Camera: smooth gimbal slow dolly in, eye-level. Expression: turns to camera, fearless half-smile.

[0:08-0:12] Extreme close-up on face. Camera: locked-off static. Expression: confident nod. Lighting: dramatic side light, golden edge rim on silhouette.

Audio: wind gusts, distant eagle cry, no music, clear dialogue space.
Style: Free Solo documentary cinematic, vertigo scale.
Constraints: stable face identity, no warped hands, no jitter, no morphing background, lip-sync ready, no text overlays.",pending,,"Hands free on a cliff edge.

Schedule a full week of posts from one conversation.

Stop managing social media. Start talking to it.
Try free → https://izop.ai?utm_source={platform}&utm_medium=izop_brand&utm_campaign=extreme_places

#socialmediamanager #aicontent #contentcreator #smallbusiness #izopai","I made this AI video in under 5 minutes.

The concept: free-solo cliff ledge, hands relaxed
The tool I use to post everywhere: iZop AI (link in bio)

Want the full Seedance prompt? Comment ""PROMPT""

#seedance #aivideo #contentcreation #buildinpublic #socialmediatips",#izopai #seedance #aivideo #socialmediamanager #contentcreator,extreme_places,2026-07-03,18:00 ET,,extreme_places
7,Extreme Locations,A,Desert heat. Cool analytics inside.,"Sahara dunes, heat shimmer horizon","Out here in the Sahara, I asked iZop AI which posts performed best last week. Plain English answer. No dashboard diving. That's the social media manager I built — and you can try it free.","9:16 vertical cinematic short-form ad, 12 seconds, shallow depth of field, 35mm film grain.

Reference: Guy Kogen personal avatar — consistent face identity, short dark hair, casual smart attire.

[0:00-0:03] Wide establishing shot: Guy Kogen sitting on top of sand dune, heat shimmer on horizon, scarf blowing gently. Subject still or slow natural movement only. Camera: slow aerial drone pull-out revealing dune sea. Expression: contemplative peace, gazing at horizon. Lighting: golden sunset rim light, warm orange tones.

[0:03-0:08] Medium close-up: Guy speaks directly to lens, subtle natural head tilt, one hand relaxed gesture. Camera: smooth gimbal slow orbit 20° left, eye-level. Expression: direct eye contact, relaxed confidence.

[0:08-0:12] Extreme close-up on face. Camera: locked-off static. Expression: knowing smile. Lighting: golden sunset rim light, warm orange tones.

Audio: desert wind, sand shifting, no music, clear dialogue space.
Style: Lawrence of Arabia cinematic epic scale.
Constraints: stable face identity, no warped hands, no jitter, no morphing background, lip-sync ready, no text overlays.",pending,,"Desert heat. Cool analytics inside.

Ask analytics questions in plain English — no dashboard required.

Stop managing social media. Start talking to it.
Try free → https://izop.ai?utm_source={platform}&utm_medium=izop_brand&utm_campaign=extreme_places

#socialmediamanager #aicontent #contentcreator #smallbusiness #izopai","I made this AI video in under 5 minutes.

The concept: Sahara dunes, heat shimmer horizon
The tool I use to post everywhere: iZop AI (link in bio)

Want the full Seedance prompt? Comment ""PROMPT""

#seedance #aivideo #contentcreation #buildinpublic #socialmediatips",#izopai #seedance #aivideo #socialmediamanager #contentcreator,extreme_places,2026-07-04,09:00 ET,,extreme_places
8,Extreme Locations,A,Middle of the ocean. Posts still sailing.,"yacht middle of ocean, no signal needed","No signal out here. Doesn't matter — iZop AI already published today's content to Instagram, TikTok, LinkedIn, and five more platforms. Your socials shouldn't need you online 24/7.","9:16 vertical cinematic short-form ad, 12 seconds, shallow depth of field, 35mm film grain.

Reference: Guy Kogen personal avatar — consistent face identity, short dark hair, casual smart attire.

[0:00-0:03] Wide establishing shot: Guy Kogen lounging on yacht deck chair, endless blue ocean horizon, drink in hand. Subject still or slow natural movement only. Camera: slow aerial drone pull-out revealing yacht in open ocean. Expression: complete relaxation, sunglasses pushed up. Lighting: bright midday sun, white yacht reflections.

[0:03-0:08] Medium close-up: Guy speaks directly to lens, subtle natural head tilt, one hand relaxed gesture. Camera: smooth gimbal slow dolly in, eye-level. Expression: direct eye contact, casual smile.

[0:08-0:12] Extreme close-up on face. Camera: locked-off static. Expression: playful eyebrow raise. Lighting: bright midday sun, white yacht reflections.

Audio: gentle waves, yacht creaking, no music, clear dialogue space.
Style: luxury lifestyle cinematic, high-end brand ad.
Constraints: stable face identity, no warped hands, no jitter, no morphing background, lip-sync ready, no text overlays.",pending,,"Middle of the ocean. Posts still sailing.

Publish to all 8 platforms from one dashboard — even when you're offline.

Stop managing social media. Start talking to it.
Try free → https://izop.ai?utm_source={platform}&utm_medium=izop_brand&utm_campaign=extreme_places

#socialmediamanager #aicontent #contentcreator #smallbusiness #izopai","I made this AI video in under 5 minutes.

The concept: yacht middle of ocean, no signal needed
The tool I use to post everywhere: iZop AI (link in bio)

Want the full Seedance prompt? Comment ""PROMPT""

#seedance #aivideo #contentcreation #buildinpublic #socialmediatips",#izopai #seedance #aivideo #socialmediamanager #contentcreator,extreme_places,2026-07-04,18:00 ET,,extreme_places
9,Extreme Locations,A,Jungle silence. Socials still loud.,"Amazon hammock, jungle sounds","The jungle is silent. My socials are not — because iZop AI is posting, replying, and brainstorming content ideas in my brand voice. Tell it your niche once. Ask for ideas anytime.","9:16 vertical cinematic short-form ad, 12 seconds, shallow depth of field, 35mm film grain.

Reference: Guy Kogen personal avatar — consistent face identity, short dark hair, casual smart attire.

[0:00-0:03] Wide establishing shot: Guy Kogen lying in hammock between trees, dense jungle canopy above. Subject still or slow natural movement only. Camera: slow crane down revealing hammock in jungle. Expression: eyes closed, peaceful sway. Lighting: dappled green-filtered sunlight through leaves.

[0:03-0:08] Medium close-up: Guy speaks directly to lens, subtle natural head tilt, one hand relaxed gesture. Camera: smooth gimbal slow push-in, eye-level. Expression: opens eyes, calm direct gaze.

[0:08-0:12] Extreme close-up on face. Camera: locked-off static. Expression: soft knowing smile. Lighting: dappled green-filtered sunlight through leaves.

Audio: jungle birds, distant howler monkey, leaves rustling, no music, clear dialogue space.
Style: survival documentary cinematic, lush natural.
Constraints: stable face identity, no warped hands, no jitter, no morphing background, lip-sync ready, no text overlays.",pending,,"Jungle silence. Socials still loud.

AI brainstorms content hooks from your top-performing posts.

Stop managing social media. Start talking to it.
Try free → https://izop.ai?utm_source={platform}&utm_medium=izop_brand&utm_campaign=extreme_places

#socialmediamanager #aicontent #contentcreator #smallbusiness #izopai","I made this AI video in under 5 minutes.

The concept: Amazon hammock, jungle sounds
The tool I use to post everywhere: iZop AI (link in bio)

Want the full Seedance prompt? Comment ""PROMPT""

#seedance #aivideo #contentcreation #buildinpublic #socialmediatips",#izopai #seedance #aivideo #socialmediamanager #contentcreator,extreme_places,2026-07-05,09:00 ET,,extreme_places
10,Extreme Locations,A,Geyser erupting. I'm chill.,Yellowstone geyser eruption backdrop,Things are erupting behind me. My comment section? Handled. iZop AI bulk-replies in my voice and flags leads from the thread. Stop drowning in notifications. Start talking to iZop.,"9:16 vertical cinematic short-form ad, 12 seconds, shallow depth of field, 35mm film grain.

Reference: Guy Kogen personal avatar — consistent face identity, short dark hair, casual smart attire.

[0:00-0:03] Wide establishing shot: Guy Kogen sitting calmly on bench as massive geyser erupts behind, steam rising dramatically. Subject still or slow natural movement only. Camera: slow dolly out revealing geyser eruption scale behind subject. Expression: completely unbothered, reading nothing. Lighting: bright daylight, steam backlit creating halo effect.

[0:03-0:08] Medium close-up: Guy speaks directly to lens, subtle natural head tilt, one hand relaxed gesture. Camera: smooth gimbal slow orbit 15° right, eye-level. Expression: turns to camera, amused smile.

[0:08-0:12] Extreme close-up on face. Camera: locked-off static. Expression: confident smirk. Lighting: bright daylight, steam backlit creating halo effect.

Audio: geyser roar, steam hiss, crowd murmur distant, no music, clear dialogue space.
Style: nature documentary cinematic, dramatic scale contrast.
Constraints: stable face identity, no warped hands, no jitter, no morphing background, lip-sync ready, no text overlays.",pending,,"Geyser erupting. I'm chill.

Bulk-reply to hundreds of comments in your brand voice instantly.

Stop managing social media. Start talking to it.
Try free → https://izop.ai?utm_source={platform}&utm_medium=izop_brand&utm_campaign=extreme_places

#socialmediamanager #aicontent #contentcreator #smallbusiness #izopai","I made this AI video in under 5 minutes.

The concept: Yellowstone geyser eruption backdrop
The tool I use to post everywhere: iZop AI (link in bio)

Want the full Seedance prompt? Comment ""PROMPT""

#seedance #aivideo #contentcreation #buildinpublic #socialmediatips",#izopai #seedance #aivideo #socialmediamanager #contentcreator,extreme_places,2026-07-05,18:00 ET,,extreme_places
